2022-06-30 07:03:28,834 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-06-30 07:03:28,835 - INFO - Added job "Cache.is_it_time_to_dump" to job store "default"
2022-06-30 07:03:28,835 - INFO - Scheduler started
2022-06-30 07:03:28,838 - INFO - Started server process [1]
2022-06-30 07:03:28,838 - INFO - Waiting for application startup.
2022-06-30 07:03:28,839 - INFO - Application startup complete.
2022-06-30 07:03:28,840 - INFO - Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2022-06-30 07:13:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:14:08 UTC)" (scheduled at 2022-06-30 07:13:48.834505+00:00)
2022-06-30 07:13:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:14:08 UTC)" executed successfully
2022-06-30 07:14:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:14:28 UTC)" (scheduled at 2022-06-30 07:14:08.834505+00:00)
2022-06-30 07:14:08,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:14:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:14:28 UTC)" executed successfully
2022-06-30 07:14:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:14:48 UTC)" (scheduled at 2022-06-30 07:14:28.834505+00:00)
2022-06-30 07:14:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:14:48 UTC)" executed successfully
2022-06-30 07:14:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:15:08 UTC)" (scheduled at 2022-06-30 07:14:48.834505+00:00)
2022-06-30 07:14:48,836 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:14:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:15:08 UTC)" executed successfully
2022-06-30 07:15:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:15:28 UTC)" (scheduled at 2022-06-30 07:15:08.834505+00:00)
2022-06-30 07:15:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:15:28 UTC)" executed successfully
2022-06-30 07:15:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:15:48 UTC)" (scheduled at 2022-06-30 07:15:28.834505+00:00)
2022-06-30 07:15:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:15:48 UTC)" executed successfully
2022-06-30 07:15:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:16:08 UTC)" (scheduled at 2022-06-30 07:15:48.834505+00:00)
2022-06-30 07:15:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:15:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:16:08 UTC)" executed successfully
2022-06-30 07:16:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:16:28 UTC)" (scheduled at 2022-06-30 07:16:08.834505+00:00)
2022-06-30 07:16:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:16:28 UTC)" executed successfully
2022-06-30 07:16:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:16:48 UTC)" (scheduled at 2022-06-30 07:16:28.834505+00:00)
2022-06-30 07:16:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:16:48 UTC)" executed successfully
2022-06-30 07:16:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:17:08 UTC)" (scheduled at 2022-06-30 07:16:48.834505+00:00)
2022-06-30 07:16:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:16:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:17:08 UTC)" executed successfully
2022-06-30 07:17:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:17:28 UTC)" (scheduled at 2022-06-30 07:17:08.834505+00:00)
2022-06-30 07:17:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:17:28 UTC)" executed successfully
2022-06-30 07:17:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:17:48 UTC)" (scheduled at 2022-06-30 07:17:28.834505+00:00)
2022-06-30 07:17:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:17:48 UTC)" executed successfully
2022-06-30 07:17:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:18:08 UTC)" (scheduled at 2022-06-30 07:17:48.834505+00:00)
2022-06-30 07:17:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:17:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:18:08 UTC)" executed successfully
2022-06-30 07:18:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:18:28 UTC)" (scheduled at 2022-06-30 07:18:08.834505+00:00)
2022-06-30 07:18:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:18:28 UTC)" executed successfully
2022-06-30 07:18:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:18:48 UTC)" (scheduled at 2022-06-30 07:18:28.834505+00:00)
2022-06-30 07:18:28,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:18:48 UTC)" executed successfully
2022-06-30 07:18:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:19:08 UTC)" (scheduled at 2022-06-30 07:18:48.834505+00:00)
2022-06-30 07:18:48,836 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:18:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:19:08 UTC)" executed successfully
2022-06-30 07:19:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:19:28 UTC)" (scheduled at 2022-06-30 07:19:08.834505+00:00)
2022-06-30 07:19:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:19:28 UTC)" executed successfully
2022-06-30 07:19:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:19:48 UTC)" (scheduled at 2022-06-30 07:19:28.834505+00:00)
2022-06-30 07:19:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:19:48 UTC)" executed successfully
2022-06-30 07:19:48,836 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:20:08 UTC)" (scheduled at 2022-06-30 07:19:48.834505+00:00)
2022-06-30 07:19:48,837 - INFO - Cache timed-out, but was empty. Resetting timer
